goldenStrat	goldenGunDmg	wins
0.5	1	471
0.5	1	437
0.5	1	447
0.5	1	476
0.5	1	426
0.5	1	446
0.5	1	444
0.5	1	470
0.5	1	447
0.5	1	482
0.5	1	474
0.5	1	460
0.5	1	452
0.5	1	468
0.5	1	477
0.5	1	451
0.5	1	462
0.5	1	426
0.5	1	446
0.5	1	470
0.5	1	462
0.5	1	445
0.5	1	456
0.5	1	447
0.5	1	428
0.5	2	457
0.5	2	427
0.5	2	448
0.5	2	445
0.5	2	412
0.5	2	472
0.5	2	474
0.5	2	436
0.5	2	469
0.5	2	442
0.5	2	461
0.5	2	444
0.5	2	448
0.5	2	473
0.5	2	484
0.5	2	452
0.5	2	457
0.5	2	449
0.5	2	457
0.5	2	448
0.5	2	458
0.5	2	417
0.5	2	451
0.5	2	441
0.5	2	485
0.5	3	428
0.5	3	461
0.5	3	453
0.5	3	467
0.5	3	469
0.5	3	462
0.5	3	458
0.5	3	467
0.5	3	446
0.5	3	463
0.5	3	477
0.5	3	451
0.5	3	481
0.5	3	453
0.5	3	476
0.5	3	449
0.5	3	446
0.5	3	431
0.5	3	448
0.5	3	442
0.5	3	447
0.5	3	448
0.5	3	461
0.5	3	457
0.5	3	453
0.5	4	475
0.5	4	436
0.5	4	470
0.5	4	437
0.5	4	439
0.5	4	464
0.5	4	446
0.5	4	452
0.5	4	475
0.5	4	462
0.5	4	443
0.5	4	447
0.5	4	469
0.5	4	451
0.5	4	437
0.5	4	453
0.5	4	464
0.5	4	454
0.5	4	450
0.5	4	431
0.5	4	453
0.5	4	454
0.5	4	473
0.5	4	423
0.5	4	429
0.5	5	442
0.5	5	469
0.5	5	434
0.5	5	456
0.5	5	467
0.5	5	444
0.5	5	461
0.5	5	465
0.5	5	450
0.5	5	494
0.5	5	456
0.5	5	488
0.5	5	461
0.5	5	468
0.5	5	458
0.5	5	475
0.5	5	448
0.5	5	446
0.5	5	462
0.5	5	464
0.5	5	454
0.5	5	431
0.5	5	482
0.5	5	460
0.5	5	456
0.5	6	431
0.5	6	448
0.5	6	461
0.5	6	450
0.5	6	445
0.5	6	452
0.5	6	483
0.5	6	459
0.5	6	461
0.5	6	457
0.5	6	464
0.5	6	458
0.5	6	475
0.5	6	467
0.5	6	441
0.5	6	453
0.5	6	464
0.5	6	446
0.5	6	469
0.5	6	465
0.5	6	475
0.5	6	481
0.5	6	450
0.5	6	439
0.5	6	488
0.5	7	469
0.5	7	472
0.5	7	463
0.5	7	467
0.5	7	477
0.5	7	478
0.5	7	455
0.5	7	437
0.5	7	466
0.5	7	451
0.5	7	465
0.5	7	444
0.5	7	465
0.5	7	457
0.5	7	436
0.5	7	454
0.5	7	453
0.5	7	443
0.5	7	434
0.5	7	498
0.5	7	462
0.5	7	448
0.5	7	452
0.5	7	426
0.5	7	477
0.5	8	460
0.5	8	464
0.5	8	460
0.5	8	444
0.5	8	439
0.5	8	484
0.5	8	457
0.5	8	494
0.5	8	449
0.5	8	447
0.5	8	461
0.5	8	454
0.5	8	438
0.5	8	448
0.5	8	448
0.5	8	457
0.5	8	459
0.5	8	450
0.5	8	472
0.5	8	455
0.5	8	463
0.5	8	473
0.5	8	460
0.5	8	476
0.5	8	453
0.5	9	452
0.5	9	470
0.5	9	443
0.5	9	444
0.5	9	461
0.5	9	461
0.5	9	447
0.5	9	452
0.5	9	458
0.5	9	486
0.5	9	448
0.5	9	432
0.5	9	464
0.5	9	428
0.5	9	465
0.5	9	470
0.5	9	452
0.5	9	473
0.5	9	484
