players	games
2	11
2	5
2	15
2	15
2	10
2	9
2	10
2	8
2	15
2	13
2	11
2	6
2	13
2	9
2	10
2	10
2	12
2	7
2	16
2	11
2	8
2	7
2	7
2	11
2	10
2	7
2	7
2	14
2	10
2	8
2	9
2	8
2	11
2	11
2	8
2	12
2	11
2	13
2	10
2	9
2	10
2	9
2	13
2	14
2	11
2	8
2	13
2	7
2	15
2	12
2	7
2	9
2	8
2	11
2	15
2	16
2	11
2	6
2	8
2	16
2	13
2	8
2	9
2	9
2	5
2	13
2	8
2	14
2	14
2	10
2	10
2	11
2	13
2	9
2	11
2	10
2	11
2	8
2	10
2	7
2	12
2	9
2	11
2	10
2	11
2	9
2	9
2	11
2	11
2	8
2	11
2	11
2	13
2	8
2	8
2	13
2	14
2	12
2	9
2	12
2	15
2	8
2	17
2	13
2	6
2	9
2	14
2	12
2	9
2	11
2	7
2	13
2	12
2	8
2	13
2	11
2	6
2	13
2	16
2	7
2	6
2	14
2	13
2	9
2	18
2	11
2	10
2	12
2	8
2	12
2	8
2	11
2	13
2	12
2	12
2	14
2	7
2	6
2	8
2	12
2	9
2	14
2	7
2	10
2	11
2	10
2	9
2	8
2	6
2	10
2	12
2	12
2	11
2	14
2	8
2	12
2	12
2	7
2	15
2	10
2	11
2	12
2	12
2	12
2	11
2	7
2	11
2	11
2	8
2	11
2	13
2	11
2	7
2	11
2	15
2	8
2	8
2	7
2	8
2	9
2	15
2	7
2	8
2	7
2	11
2	12
2	12
2	9
2	9
2	11
2	6
2	11
2	11
2	13
2	9
2	8
2	12
2	9
2	15
2	11
2	6
2	8
2	9
2	14
2	7
2	15
2	8
2	10
2	15
2	11
2	9
2	7
2	11
2	5
2	10
2	8
2	12
2	14
2	13
2	15
2	9
2	12
2	12
2	11
2	9
2	7
2	12
2	7
2	7
2	9
2	13
2	13
2	10
2	12
2	10
2	12
2	7
2	10
2	12
2	17
2	12
2	12
2	8
2	10
2	8
2	6
2	11
2	10
2	11
2	10
2	10
2	9
2	10
2	10
2	8
2	9
2	8
2	9
2	10
2	7
2	12
2	8
2	9
2	14
2	11
2	8
2	13
2	10
2	15
2	9
2	7
2	10
2	6
2	11
2	10
2	10
2	14
2	8
2	11
2	8
2	7
2	6
2	14
2	13
2	10
2	11
2	11
2	12
2	13
2	10
2	13
2	8
2	14
2	9
2	15
2	7
2	13
2	8
2	10
2	9
2	12
2	13
2	11
2	8
2	8
2	14
2	14
2	9
2	9
2	9
2	8
2	11
2	14
2	5
2	11
2	10
2	13
2	10
2	12
2	6
2	16
2	11
2	13
2	8
2	5
2	11
2	8
2	6
2	5
2	9
2	14
2	13
2	12
2	9
2	12
2	15
2	13
2	10
2	11
2	12
2	9
2	9
2	11
2	9
2	9
2	11
2	14
2	7
2	12
2	7
2	9
2	12
2	6
2	9
2	13
2	9
2	8
2	13
2	8
2	11
2	10
2	9
2	12
2	12
2	10
2	10
2	11
2	10
2	8
2	12
2	10
2	9
2	8
2	9
2	7
2	13
2	14
2	9
2	10
2	7
2	14
2	12
2	12
2	9
2	10
2	13
2	11
2	8
2	6
2	13
2	10
2	13
2	12
2	7
2	15
2	12
2	13
2	13
2	10
2	8
2	10
2	9
2	11
2	11
2	9
2	8
2	10
2	15
2	12
2	11
2	7
2	9
2	8
2	11
2	12
2	9
2	12
2	12
2	9
2	8
2	11
2	14
2	5
2	13
2	14
2	8
2	7
2	10
2	16
2	13
2	12
2	13
2	16
2	7
2	10
2	9
2	9
2	6
2	8
2	10
2	7
2	7
2	9
2	15
2	11
2	10
2	13
2	6
2	7
2	12
2	7
2	8
2	11
2	11
2	8
2	11
2	11
2	13
2	10
2	10
2	10
2	15
2	8
2	13
2	11
2	8
2	12
2	9
2	9
2	7
2	11
2	8
2	13
2	11
2	13
2	14
2	11
2	11
2	10
2	12
2	14
2	12
2	12
2	14
2	11
2	9
2	9
2	16
2	11
2	9
2	10
2	12
2	13
2	11
2	10
2	10
2	13
2	9
2	11
2	8
2	7
2	9
2	9
2	11
2	12
2	15
2	11
2	9
2	11
2	12
2	14
2	13
2	13
2	9
2	13
2	17
2	7
2	11
2	5
2	12
2	9
2	12
2	11
2	13
2	14
2	10
2	10
2	14
2	12
2	12
2	8
2	9
2	11
2	11
2	9
2	7
2	13
2	16
2	10
2	9
2	12
2	8
2	16
2	10
2	6
2	7
2	13
2	11
2	13
2	11
2	9
2	12
2	12
2	6
2	12
2	12
2	7
2	10
2	7
2	8
2	14
2	10
2	11
2	7
2	15
2	8
2	8
2	12
2	10
2	14
2	14
2	7
2	6
2	15
2	9
2	12
2	8
2	8
2	12
2	15
2	9
2	10
2	14
2	9
2	7
2	10
2	8
2	8
2	15
2	9
2	8
2	8
2	8
2	8
2	12
2	3
2	11
2	9
2	8
2	9
2	11
2	7
2	6
2	13
2	10
2	9
2	8
2	14
2	8
2	4
2	11
2	9
2	8
2	7
2	13
2	6
2	10
2	7
2	7
2	10
2	11
2	11
2	8
2	10
2	11
2	9
2	14
2	9
2	9
2	13
2	7
2	11
2	14
2	12
2	9
2	16
2	10
2	8
2	13
2	11
2	11
2	12
2	9
2	11
2	7
2	9
2	8
2	6
2	6
2	11
2	8
2	8
2	12
2	15
2	12
2	12
2	7
2	11
2	11
2	14
2	15
2	13
2	8
2	12
2	12
2	8
2	8
2	9
2	7
2	10
2	13
2	10
2	12
2	7
2	10
2	12
2	12
2	11
2	9
2	8
2	14
2	15
2	12
2	10
2	10
2	12
2	6
2	6
2	15
2	10
2	14
2	7
2	11
2	12
2	11
2	6
2	15
2	6
2	9
2	12
2	10
2	11
2	7
2	13
2	8
2	10
2	9
2	7
2	13
2	13
2	13
2	9
2	7
2	6
2	9
2	8
2	8
2	16
2	7
2	11
2	7
2	10
2	9
2	12
2	10
2	9
2	9
2	13
2	9
2	9
2	12
2	12
2	7
2	13
2	10
2	10
2	14
2	13
2	7
2	8
2	9
2	13
2	11
2	12
2	12
2	12
2	11
2	9
2	9
2	7
2	5
2	12
2	9
2	14
2	7
2	13
2	12
2	10
2	12
2	9
2	10
2	10
2	12
2	13
2	13
2	11
2	12
2	8
2	14
2	9
2	10
2	9
2	13
2	11
2	13
2	16
2	12
2	10
2	6
2	10
2	11
2	14
2	9
2	11
2	11
2	10
2	9
2	8
2	15
2	12
2	13
2	9
2	6
2	8
2	12
2	11
2	9
2	12
2	11
2	8
2	8
2	8
2	9
2	16
2	11
2	8
2	9
2	11
2	9
2	9
2	8
2	9
2	11
2	6
2	7
2	8
2	12
2	15
2	5
2	14
2	9
2	14
2	5
2	15
2	6
2	9
2	13
2	10
2	7
2	16
2	12
2	6
2	8
2	11
2	9
2	9
2	12
2	5
2	6
2	6
2	10
2	10
2	14
2	12
2	16
2	10
2	12
2	13
2	16
2	13
2	9
2	9
2	11
2	9
2	13
2	10
2	9
2	10
2	7
2	7
2	11
2	11
2	6
2	8
2	12
2	10
2	15
2	9
2	8
2	4
2	11
2	11
2	13
2	10
2	15
2	14
2	14
2	10
2	12
2	13
2	13
2	12
2	13
2	10
2	9
2	6
2	10
2	14
2	12
2	12
2	6
2	4
2	12
2	12
2	12
2	12
2	8
2	12
2	10
2	13
2	8
2	6
2	11
2	12
2	11
2	14
2	11
2	11
2	9
2	6
2	14
2	10
2	11
2	12
2	9
2	14
2	7
2	8
2	14
2	10
2	8
2	8
2	16
2	8
2	14
2	10
2	6
2	14
2	12
2	9
2	13
2	14
2	12
2	9
2	8
2	12
2	8
2	10
2	9
2	5
2	7
2	12
2	15
2	12
2	9
2	9
2	7
2	13
2	14
2	9
2	15
2	12
2	13
2	8
2	10
2	11
2	17
2	12
2	18
2	10
2	11
2	9
2	7
2	9
2	11
2	7
2	6
2	11
2	10
2	6
2	7
2	5
2	11
2	5
2	7
2	7
2	10
2	12
2	11
2	12
2	7
2	14
2	13
2	8
2	10
2	8
2	9
2	7
2	8
2	9
2	12
2	7
2	12
2	12
2	4
2	10
2	9
2	10
2	12
2	9
3	10
3	7
3	8
3	9
3	10
3	9
3	10
3	11
3	9
3	9
3	10
3	11
3	10
3	11
3	10
3	9
3	10
3	10
3	11
3	10
3	8
3	8
3	8
3	9
3	10
3	8
3	12
3	12
3	10
3	9
3	9
3	8
3	13
3	9
3	10
3	12
3	11
3	9
3	11
3	12
3	10
3	7
3	10
3	11
3	6
3	10
3	15
3	11
3	10
3	13
3	6
3	11
3	7
3	9
3	8
3	12
3	9
3	7
3	8
3	8
3	10
3	11
3	10
3	16
3	8
3	8
3	11
3	8
3	8
3	13
3	10
3	8
3	12
3	10
3	9
3	10
3	15
3	9
3	12
3	7
3	10
3	5
3	5
3	11
3	13
3	9
3	14
3	14
3	7
3	12
3	11
3	13
3	9
3	11
3	8
3	13
3	9
3	5
3	9
3	8
3	6
3	9
3	9
3	9
3	5
3	10
3	6
3	9
3	8
3	8
3	7
3	11
3	9
3	10
3	9
3	9
3	13
3	10
3	7
3	10
3	9
3	12
3	10
3	8
3	11
3	7
3	9
3	7
3	8
3	6
3	10
3	8
3	11
3	10
3	12
3	8
3	12
3	10
3	9
3	9
3	7
3	12
3	10
3	11
3	12
3	7
3	14
3	6
3	8
3	8
3	5
3	7
3	7
3	9
3	8
3	9
3	11
3	13
3	11
3	7
3	8
3	9
3	8
3	9
3	9
3	13
3	8
3	11
3	7
3	8
3	10
3	12
3	13
3	13
3	9
3	12
3	9
3	7
3	10
3	10
3	14
3	8
3	13
3	8
3	10
3	10
3	7
3	11
3	6
3	13
3	8
3	11
3	11
3	7
3	13
3	13
3	11
3	6
3	5
3	11
3	7
3	9
3	8
3	11
3	11
3	10
3	12
3	8
3	6
3	8
3	8
3	11
3	9
3	10
3	8
3	12
3	7
3	10
3	8
3	8
3	9
3	7
3	8
3	9
3	12
3	13
3	9
3	8
3	9
3	12
3	10
3	11
3	9
3	6
3	9
3	14
3	9
3	10
3	6
3	14
3	9
3	8
3	9
3	8
3	7
3	8
3	10
3	12
3	8
3	9
3	7
3	4
3	7
3	17
3	11
3	8
3	10
3	13
3	13
3	5
3	12
3	8
3	8
3	10
3	14
3	12
3	12
3	11
3	10
3	15
3	9
3	10
3	11
3	9
3	9
3	6
3	6
3	10
3	6
3	9
3	12
3	10
3	10
3	10
3	9
3	11
3	9
3	10
3	7
3	7
3	11
3	6
3	6
3	10
3	11
3	10
3	15
3	10
3	9
3	6
3	11
3	5
3	8
3	8
3	9
3	7
3	7
3	10
3	11
3	13
3	9
3	10
3	10
3	8
3	7
3	15
3	9
3	7
3	10
3	7
3	14
3	11
3	11
3	11
3	12
3	17
3	10
3	12
3	7
3	10
3	13
3	10
3	8
3	11
3	9
3	8
3	9
3	10
3	5
3	13
3	13
3	8
3	11
3	8
3	9
3	12
3	9
3	6
3	9
3	11
3	7
3	11
3	7
3	11
