players	percBetterWinningOdds
2	1.2
2	4.0
2	7.6
2	9.8
2	4.2
2	3.8
2	7.2
2	3.0
2	-1.0
2	-2.4
2	-0.2
2	1.4
2	-0.8
2	0.4
2	1.4
2	4.8
2	2.0
2	1.4
2	-2.6
2	6.2
2	7.4
2	7.8
2	3.4
2	1.0
2	2.0
2	-3.2
2	4.0
2	-4.8
2	4.8
2	1.8
2	4.6
2	7.6
2	1.2
2	4.0
2	0.2
2	1.0
2	2.6
2	6.6
2	3.0
2	1.8
2	-3.6
2	-1.0
2	2.6
2	6.6
2	7.2
2	3.2
2	-0.6
2	2.6
2	3.6
2	5.2
2	2.4
2	1.4
2	7.0
2	0.0
2	10.4
2	8.2
2	4.0
2	0.6
2	4.4
2	4.0
2	1.0
2	7.4
2	4.2
2	11.6
2	-2.2
2	4.4
2	4.0
2	8.6
2	1.2
2	4.0
2	2.4
2	9.8
2	2.6
2	3.2
2	0.6
2	4.0
2	8.0
2	4.4
2	-1.2
2	9.6
2	3.8
2	4.4
2	4.0
2	2.4
2	5.6
2	4.2
2	0.8
2	2.2
2	4.2
2	2.2
2	7.4
2	7.2
2	4.8
2	-1.2
2	2.6
2	0.6
2	6.4
2	6.4
2	5.2
2	4.2
3	2.0
3	6.8
3	5.9
3	8.9
3	-2.2
3	-2.2
3	6.2
3	9.2
3	11.0
3	1.4
3	8.3
3	5.9
3	12.8
3	12.8
3	3.5
3	12.8
3	6.2
3	-7.0
3	8.3
3	-1.6
3	8.6
3	8.0
3	1.1
3	12.8
3	7.4
3	-0.7
3	7.4
3	-2.8
3	11.3
3	7.4
3	9.2
3	6.8
3	6.2
3	11.9
3	8.0
3	14.0
3	6.2
3	3.8
3	0.5
3	-0.7
3	-1.6
3	3.5
3	-0.1
3	-4.0
3	10.7
3	2.6
3	10.7
3	4.7
3	9.5
3	3.2
3	2.6
3	2.6
3	10.4
3	4.7
3	9.8
3	8.9
3	14.0
3	4.7
3	-1.0
3	4.4
3	6.2
3	7.4
3	7.1
3	-7.3
3	8.3
