discardDuplicatesBeforeUselessCards	waitForGoldenGun	chooseScrapOverUnknownShelf	maxConsecUselessUnknownShelfDraws	wins
0.128	0.748	0.282	3	552
0.417	0.453	0.068	8	607
0.032	0.129	0.187	2	650
0.916	0.478	0.382	5	602
0.157	0.269	0.492	2	595
0.36	0.576	0.237	10	569
0.815	0.38	0.398	7	591
0.997	0.668	0.883	2	349
0.726	0.249	0.073	5	613
0.477	0.705	0.821	9	403
0.607	0.208	0.888	8	379
0.091	0.411	0.315	8	627
0.395	0.712	0.801	10	427
0.641	0.254	0.636	3	567
0.599	0.95	0.643	2	271
0.766	0.108	0.738	2	488
0.609	0.255	0.295	6	601
0.037	0.161	0.028	3	632
0.69	0.649	0.023	1	573
0.267	0.456	0.167	2	622
0.631	0.656	0.092	9	575
0.466	0.419	0.269	6	643
0.175	0.047	0.978	5	303
0.418	0.716	0.281	6	558
0.869	0.536	0.208	2	578
0.794	0.846	0.619	8	411
0.772	0.905	0.235	7	386
0.126	0.824	0.652	7	435
0.422	0.108	0.005	3	642
0.403	0.792	0.383	7	495
0.158	0.791	0.708	9	439
0.379	0.966	0.6	1	195
0.71	0.301	0.055	2	628
0.247	0.059	0.016	9	636
0.45	0.865	0.368	6	459
0.934	0.654	0.201	4	590
0.795	0.668	0.674	2	503
0.793	0.949	0.683	5	264
0.602	0.613	0.115	2	630
0.439	0.84	0.066	5	513
0.674	0.229	0.189	1	616
0.584	0.654	0.235	3	590
0.879	0.944	0.299	8	316
0.812	0.792	0.917	9	291
0.559	0.606	0.405	6	577
0.932	0.378	0.723	6	466
0.804	0.336	0.082	2	612
0.947	0.54	0.423	3	573
0.175	0.883	0.943	6	225
0.949	0.862	0.256	1	445
0.868	0.954	0.943	4	129
0.619	0.174	0.422	9	607
0.99	0.706	0.678	5	459
0.607	0.689	0.448	3	554
0.03	0.004	0.196	2	667
0.051	0.634	0.38	8	594
0.245	0.33	0.674	3	529
0.334	0.628	0.233	5	593
0.265	0.132	0.276	9	637
0.483	0.196	0.514	8	578
0.729	0.985	0.32	9	160
0.943	0.825	0.382	10	512
0.303	0.144	0.85	4	466
0.015	0.6	0.362	6	604
0.606	0.847	0.531	9	444
0.808	0.21	0.469	1	564
0.902	0.682	0.073	1	583
0.667	0.662	0.053	10	574
0.772	0.689	0.435	1	519
0.74	0.536	0.971	4	252
0.425	0.943	0.914	10	141
0.264	0.691	0.269	1	591
0.349	0.481	0.014	7	598
0.084	0.114	0.901	6	421
0.168	0.072	0.639	6	585
0.288	0.955	0.627	1	234
0.969	0.551	0.299	9	595
0.079	0.948	0.319	9	317
0.253	0.103	0.873	6	418
0.036	0.426	0.391	9	638
0.623	0.72	0.464	5	523
0.575	0.451	0.841	5	434
0.306	0.227	0.106	10	627
0.253	0.945	0.258	3	320
0.425	0.095	0.105	1	634
0.906	0.666	0.242	10	567
0.738	0.891	0.878	9	274
0.285	0.67	0.98	1	238
0.854	0.855	0.064	9	480
0.038	0.299	0.251	2	623
0.796	0.609	0.892	10	358
0.766	0.888	0.689	10	371
0.683	0.733	0.007	10	571
0.601	0.588	0.019	9	602
0.464	0.074	0.868	1	401
0.91	0.299	0.482	5	580
0.076	0.549	0.938	1	294
0.775	0.85	0.51	4	437
0.651	0.991	0.646	1	117
0.821	0.149	0.71	3	540
0.468	0.66	0.514	2	502
0.119	0.412	0.554	7	583
0.405	0.168	0.941	2	347
0.345	0.826	0.985	10	211
0.999	0.874	0.34	10	433
0.994	0.813	0.846	5	342
0.12	0.531	0.463	3	593
0.269	0.996	0.468	3	123
0.205	0.962	0.797	4	176
0.304	0.732	0.826	2	430
0.275	0.522	0.3	9	598
0.161	0.075	0.093	9	631
0.442	0.469	0.833	3	440
0.462	0.92	0.99	8	135
0.245	0.504	0.316	10	575
0.276	0.983	0.768	2	131
0.357	0.031	0.015	2	622
0.258	0.645	0.528	6	560
0.224	0.422	0.519	8	575
0.467	0.042	0.221	9	610
0.754	0.622	0.715	10	463
0.935	0.277	0.49	3	594
0.795	0.777	0.568	3	481
0.373	0.52	0.077	4	617
0.994	0.23	0.203	9	597
0.302	0.844	0.643	4	418
0.776	0.447	0.513	2	601
0.707	0.506	0.11	3	607
0.767	0.968	0.817	5	151
0.048	0.834	0.206	7	510
0.476	0.811	0.999	2	178
0.707	0.22	0.205	2	619
0.8	0.888	0.746	9	316
0.076	0.413	0.406	4	632
0.709	0.901	0.428	9	406
0.784	0.668	0.339	2	553
0.758	0.012	0.062	7	628
0.394	0.373	0.08	1	638
0.874	0.647	0.147	9	577
0.661	0.376	0.477	9	587
0.993	0.969	0.863	1	137
0.643	0.804	0.642	10	461
0.127	0.154	0.724	5	548
0.42	0.226	0.64	3	547
0.783	0.057	0.971	7	289
0.416	0.102	0.043	6	615
0.362	0.943	0.795	8	207
0.637	0.56	0.71	7	492
0.382	0.322	0.9	6	373
0.188	0.84	0.872	5	354
0.255	0.191	0.027	1	649
0.204	0.693	0.938	4	286
0.578	0.074	0.561	1	562
0.443	0.252	0.16	1	644
0.205	0.761	0.2	9	565
0.509	0.836	0.323	2	499
0.997	0.177	0.609	10	546
0.875	0.097	0.8	5	489
0.46	0.699	0.807	3	407
0.922	0.567	0.272	2	576
0.068	0.815	0.744	8	413
0.813	0.982	0.605	3	140
0.333	0.357	0.147	1	613
0.079	0.387	0.581	10	561
0.418	0.485	0.88	1	396
0.841	0.562	0.852	6	403
0.706	0.366	0.675	1	532
0.513	0.066	0.077	1	640
0.298	0.936	0.575	5	304
0.413	0.359	0.966	4	290
0.661	0.759	0.128	10	509
0.782	0.535	0.194	8	579
0.049	0.925	0.717	9	301
0.016	0.121	0.404	8	636
0.08	0.044	0.008	4	666
0.32	0.632	0.704	1	501
0.367	0.019	0.301	1	633
0.243	0.301	0.56	6	571
0.52	0.46	0.845	1	402
0.889	0.135	0.334	10	625
0.238	0.799	0.465	4	503
0.491	0.209	0.042	5	643
0.167	0.734	0.803	5	418
0.231	0.181	0.56	3	583
0.669	0.348	0.297	6	588
0.712	1.0	0.015	3	105
0.621	0.988	0.9	6	88
0.546	0.192	0.563	7	594
0.205	0.644	0.579	10	559
0.584	0.775	0.849	8	374
0.906	0.24	0.994	1	220
0.83	0.276	0.877	2	421
0.447	0.829	0.575	7	480
0.344	0.66	0.289	3	597
0.081	0.592	0.883	5	373
0.196	0.249	0.169	10	653
0.311	0.253	0.355	4	616
0.508	0.683	0.138	1	579
0.142	0.6	0.105	10	601
0.797	0.842	0.757	5	376
0.324	0.832	0.587	9	438
0.321	0.221	0.519	4	599
0.339	0.687	0.152	2	559
0.209	0.621	0.053	6	598
0.208	0.866	0.276	7	484
0.596	0.687	0.354	9	553
0.393	0.205	0.887	2	394
0.482	0.938	0.992	7	116
0.113	0.744	0.572	8	526
0.984	0.197	0.708	1	502
0.341	0.084	0.388	1	612
0.911	0.97	0.479	6	227
0.925	0.548	0.708	4	484
0.526	0.255	0.001	6	637
0.352	0.752	0.643	1	478
0.914	0.242	0.976	10	288
0.81	0.803	0.703	6	450
0.849	0.831	0.174	7	489
0.108	0.389	0.553	1	586
0.716	0.906	0.828	4	278
0.888	0.3	0.805	9	433
0.72	0.745	0.444	9	510
0.392	0.886	0.194	3	434
